Квартал,Дата отчета,Валюта отчета,"Выручка млн $","Операционная прибыль млн $","EBITDA млн $","Чистая прибыль млн $","Операционный денежный поток млн $","CAPEX млн $","FCF млн $","Див.выплата млн $","Див доход ао %","Дивиденды/прибыль %","Опер.расходы млн $","Себестоимость млн $","НИОКР млн $","Процентные расходы млн $","Активы млн $","Чистые активы млн $","Долг млн $","Наличность млн $","Чистый долг млн $","Цена акции ао руб","Число акций ао млн","Капитализация млн $","EV млн $","Баланс стоимость млн $","EPS $","FCF/акцию руб","BV/акцию руб","РентабEBITDA %","Чистаярентаб %","ДоходностьFCF %","ROE %","ROA %",P/E,P/S,P/BV,EV/EBITDA,Долг/EBITDA,"R&D/CAPEX %","CAPEX/Выручка %","d-mpg"
2000Q1,15.06.1999,USD,71.0,9.00,10.9,6.30,3.40,2.50,0.900,0.000,0.00%,0.00%,16.1,45.9,8.80,0.000,127.0,77.0,3.00,52.0,-49.0,0.380,1702,647,598,77,0.00,0.00,0.05,15.4%,8.87%,0.14%,8.18%,4.96%,102.7,9.11,8.40,54.9,-4.50,352.0%,3.52%,13
2000Q2,10.09.1999,USD,78.0,9.50,11.9,6.70,-3.30,2.20,-5.50,0.000,0.00%,0.00%,19.0,49.6,10.8,0.000,134.0,82.0,3.00,47.0,-44.0,0.419,1702,714,670,82,0.00,0.00,0.05,15.3%,8.59%,-0.64%,15.9%,9.70%,54.9,4.79,8.70,29.4,-1.93,490.9%,2.82%,13
2000Q3,10.12.1999,USD,97.0,15.1,18.2,10.6,10.5,5.20,5.30,0.000,0.00%,0.00%,24.3,57.6,12.4,0.000,157.6,98.4,9.00,55.2,-46.2,0.461,1413,651,605,98,0.01,0.00,0.07,18.8%,10.9%,0.11%,24.0%,15.0%,27.6,2.65,6.62,14.8,-1.13,238.5%,5.36%,13
2000Q4,30.01.2000,USD,128.5,20.8,24.4,14.6,5.30,1.70,3.60,0.000,0.00%,0.00%,27.8,79.8,15.4,0.000,202.0,125.0,3.00,62.0,-59.0,0.779,1802,1403,1344,125,0.01,0.00,0.07,19.0%,11.4%,0.31%,30.6%,18.9%,36.7,3.75,11.2,20.6,-0.90,905.9%,1.32%,14
2001Q1,14.06.2000,USD,148.5,25.6,30.0,18.3,10.6,7.45,3.18,0.000,0.00%,0.00%,33.0,89.9,17.8,0.000,447.8,162.4,2.50,269.8,-267.3,1.86,1521,2823,2556,162,0.01,0.00,0.11,20.2%,12.3%,0.23%,30.9%,11.2%,56.3,6.25,17.4,30.3,-3.16,239.3%,5.02%,14
2001Q2,13.09.2000,USD,170.4,29.0,36.5,22.5,24.1,7.61,16.5,0.000,0.00%,0.00%,34.8,106.6,20.1,0.000,507.0,206.0,2.00,289.0,-287.0,2.25,1908,4292,4005,206,0.01,0.01,0.11,21.4%,13.2%,0.66%,32.0%,13.0%,65.0,7.88,20.8,36.7,-2.63,264.2%,4.47%,14
2001Q3,08.12.2000,USD,198.2,36.6,45.6,28.1,17.7,6.53,11.1,0.000,0.00%,0.00%,36.9,124.6,22.0,0.000,983.0,361.0,301.0,695.0,-394.0,2.55,1930,4927,4533,361,0.01,0.01,0.19,23.0%,14.2%,0.70%,23.1%,8.49%,59.0,7.63,13.6,33.2,-2.89,336.7%,3.30%,15
2001Q4,28.01.2001,USD,218.2,39.1,50.7,31.1,15.5,14.7,0.800,0.000,0.00%,0.00%,43.4,135.8,26.4,0.000,1017,407.0,301.0,674.0,-373.0,2.12,1941,4110,3737,383,0.02,0.00,0.20,23.2%,14.3%,0.77%,24.6%,9.83%,41.1,5.59,10.7,23.0,-2.29,179.2%,6.75%,15
2002Q1,12.06.2001,USD,240.9,32.6,44.3,26.7,35.7,31.7,3.94,0.000,0.00%,0.00%,61.7,146.7,32.6,0.000,1082,463.0,301.0,627.0,-326.0,3.29,1988,6545,6219,377,0.01,0.00,0.19,18.4%,11.1%,0.49%,23.4%,10.0%,60.4,7.91,17.4,35.1,-1.84,102.7%,13.2%,15
2002Q2,10.09.2001,USD,259.9,44.4,57.6,32.9,58.1,23.8,34.3,0.000,0.00%,0.00%,57.9,157.6,33.9,0.000,1189,528.0,306.0,681.0,-375.0,3.38,2044,6897,6522,447,0.02,0.02,0.22,22.2%,12.7%,0.73%,22.5%,9.99%,58.1,7.52,15.4,32.9,-1.89,142.3%,9.17%,16
2002Q3,23.11.2001,USD,365.0,57.3,70.9,41.3,19.5,21.2,-1.78,0.000,0.00%,0.00%,76.1,231.5,44.3,0.000,1247,611.0,311.0,717.0,-406.0,3.82,2042,7792,7386,526,0.02,0.00,0.26,19.4%,11.3%,0.48%,21.6%,10.6%,59.0,7.19,14.8,33.0,-1.82,208.5%,5.82%,16
2002Q4,14.05.2002,USD,503.7,107.5,123.4,76.0,47.5,84.3,-36.7,0.000,0.00%,0.00%,81.8,314.4,44.0,0.000,1503,764.0,310.0,791.0,-481.0,5.46,2127,11603,11122,683,0.04,-0.02,0.32,24.5%,15.1%,0.20%,30.5%,15.5%,49.7,6.78,17.0,29.0,-1.25,52.2%,16.7%,16
2003Q1,14.05.2002,USD,582.9,117.2,131.7,83.2,48.8,21.2,27.6,0.000,0.00%,0.00%,90.0,375.7,52.5,0.000,1600,869.0,309.0,828.0,-519.0,2.53,2191,5545,5026,786,0.04,0.01,0.36,22.6%,14.3%,0.42%,26.9%,14.6%,23.8,3.24,7.05,13.1,-1.35,247.7%,3.64%,17
2003Q2,10.09.2002,USD,427.3,6.20,21.7,5.30,0.668,27.8,-27.2,0.000,0.00%,0.00%,93.1,328.0,57.2,0.000,1615,884.0,314.0,827.0,-513.0,1.23,2025,2483,1970,804,0.00,-0.01,0.40,5.08%,1.24%,-1.53%,23.3%,12.7%,12.1,1.32,3.09,5.66,-1.48,205.5%,6.51%,17
2003Q3,10.12.2002,USD,430.3,-50.1,-33.9,-48.6,91.3,4.16,87.1,0.000,0.00%,0.00%,152.1,328.3,57.8,0.000,1630,879.3,311.6,912.0,-600.4,0.925,1841,1703,1102,801,-0.03,0.05,0.44,-7.88%,-11.3%,2.98%,13.2%,7.11%,14.7,0.88,2.13,4.54,-2.47,1390%,0.97%,17
2003Q4,25.04.2003,USD,469.0,70.7,87.8,50.9,124.3,9.94,114.4,0.000,0.00%,0.00%,96.8,301.4,57.4,0.000,1617,932.7,310.7,1028,-717.3,0.848,2010,1704,986,857,0.03,0.06,0.43,18.7%,10.9%,11.9%,9.74%,5.62%,18.8,0.89,1.99,4.76,-3.46,577.5%,2.12%,18
